,2026-2027,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Property,,Fee,,,,,,,,,,,,,,,,,,,,,,,,,
,"COACH HOUSE BORDYKE  FYI £19k for £18k aim CODE 8785
AML DONE on SLA -and John, invited Jeff - done on tenant","10.07 AM to issue - sent 10/07

7.07 should happen today

01.07 chasing SIPP for approval to complete   ****Invoice drafted to be checked by DT***

29.06 just waiting SIPP approval to complete, AM TO DRAFT INVOICE

18.06 jsu waiitng for land reg

11.06 Keys and land reg issue to be resolved 

18.05 TAW signed 

7.05 BC to get lease plan quote 

5.05 Ist with Olly and Kimberly to confirm the lease plan with 11 spaces os agteed 

29.04 Abbet asked John about plan for car parking 

20.04 sour tout compliance and lease plan 

15.04 Olive butler 

15.04 complaince to be sorted 

7.04  Check utulites and clear out 

23.03 AM to chazneg terms 

17.01 Drfat HOTS issued

16.01 J&J to ocnfirm we cma send out Terms

6.03 DT asked if we can cirucalte Heads of Terms to NExus 

24.02 Nexus have insited they are interested however are unable to make a definitive answer

23.02 Nexus  to confirm

16.02  Update clients tomorrow 

13.02 Nexus to come back with a definitive answer by end of play today

11.02 Hot Drafted and with Dt. DT sent to the Elliots for first review.  JOB sent email to school for time scale and feedback on the refusal to include a rent review price cap

09.02 AM to draft Heads of Terms

09.02 JOB discc with DT 

29.01 Jeff wants us to stall 

27.01 Need confirmation of timing for Nexus

19.01 JOB went back to Nexus and SGS as per Jeff comments. 

19.01 JOB needs to review offers and go back to nexus to get them to get rid of break clause

06.01 Nexus school showing interest, all their current queries replied to -  awaiting thieir feedback. PLUS  Olly Stevens/ StoneX (interiors) interested but seeing if can exit lease (prior 2027)
  ---
3.12 Jed needs to agree penailyt if he exercises the break   **JED PULLED OUT** 

25.11 negotiations continue. LL wants 2 x personal dir guarantee, we also suggested undertaking- Jed not happy with either DT GOING BACK TO JED WITH FINAL COUNTER - 3 mnths no rent free

11.11 accounts for 2024 rec'd to review with DT   DONE and conveyed status of proposal to Vendor John and Jeff 

04.11 -  AM sent message to Jed with LL counter proposals etc and await his feedback and full accounts. 

28.10 John and Jeff happy with Planet JJ but have counter offer proposals  -  AM to discuss w DT

25.09 went live   **OFFER FROM JED CONVEYED 21/10/25 AM **"," £1,900 ",,,,,,,,,,,,,,,,,,,,,,,,,
,"Tatlingbury oast
AML query with DT ","10.07 AM to issue  **asking Paul who to address it to 10/07**  SENT 10/07

07.07 shoudl happen today

01.07 shoudl complete today  **Invoice drafted to be checked by DT**

29.06 engrossded lease to be issed to Teannt this week.

19.06  - due to complete next couple of days DRAFT INVOICE 

16.05 compeltign today?

11.05 Tim has send out lease 

5.05 DT chased for lease compleraiton date 

27.04 oftead approval recieved. AML to know be completed 


9.04 AFL exchanged, compleation subjec to offisted and landlord works. AM to bill on completion of AFL 

7.04 AFL should be signed today

31.03 Tim to issue AFL

30.03 DT update paul amd Tim

27.03 DT to meet next week

27.03 ofsted on site 24.04

24.03 Tim said a few weeks

23.03 DT asked Tim when the lease will be issed.

16.03 sols isntructed

6.03 DT issues draft Heads of Terms 

23.02 Terms agreed but tenant has raised a few queries,

17.02  Dt gone back to teamt wiith a counter propsa;

11.02  DT to go back to Paul and let him know they cannot include VAT on the rent 

2.02 Offer from nusery, DT asked them to confirm accounts. "," £11,500 ",,,,,,,,,,,,,,,,,,,,,,,,,
,"Western Ave Borough Green
AMLS done ","16.07 Echanged last Fridau with compleation 24th July. 17/07 SENT INVOICE
13.07 shoudl have exchanged on Friday

6.07 exchange this Friday with completation on 21st 

29.06 DT sent chaser for confirmation dates 

22.06 funding confirmed, awaitign date for exchange

22.06 rerports to go to bank"," £6,225 ",,,,,,,,,,,,,,,,,,,,,,,,,
,"18 East Street
AML done ","12.08 invoice sent 

27.07 lease completed. Tim to send lease and AM to draft invoice 

18.06  The proposal is for completion is  mid-July and the 3  months rent free would run from the date of completion .

The break date , rent review date and end date would mirror the lease of 20 East Street .

If you can confirm you are happy to agree this , or call me to discuss further .



02.06 Dt asked Tim if he needs any asstiance 

15.05 progressing 

5.05 complaince si beign finalised 

20.04 AM to compliance quotes 

27.03 Dt sent chaser.

3.12 Gerlas has died and estate is beeign orted out


25.11.DT emailed Peter Rundle  **DT TO SPEAK TO PETER RUNDLE IN JAN 2026 HOLD**

18.11 DT asked Tim Mchugo for an update 

28.08 legals progressing 

18.08 warners say completing tomorrow - DT asked for clarification- is this both properties??

01.08 Tenant has queried some lease clauses, client sols have responded. Awaiting conf that all is agreed 

28.07  - update from P Rundle Larchfield, their insurers are asking for additional info. He thinks nearly complete and will update nxt week

23.07 Dt asked for an updaste

17.08 Tim Mchugo said close to exchange

11.07 DT chased solcitor 

30.06  Dt asdked sols if he needs me to chased

19.06 Dt asked Tunder for us to change 

11.06 Dt asked client to confirm how to guartee no 18 if theey take 20

4.06 DT said to client Tunde will taker 18

Dt updated 

23.05 Dt chased 

13.05 HOT sent 

08.05 Tunde sol requesting 5 year mutual  break clause

6.05 Draft HOTS sent to Tunde

30.04 MC sent draft HoT to Ed (Larchfield)

29.04 Tunde emailed guarantor details

23.04  DT emailing Ed Larchfield for update 

16.04 DT spoke to Bebbington who confirmed they are selling their half to (Peter) Larchfield.

7.04 JP  and larchfields discussing sale (Tunde chasing)

31.03 awaiitng JB feedback

21.03 Dt went back to Tunde (AM advised Jed that we are progressing with another party)

14.03 DT sent prospoal to John Beppitnogn 

12.03 DT sent Tunde's proposal over to Ed

05.03 DT negotiating proposal with Tunde.

19.02 DT had phone call with another interested party (Tunde- Nursery creche) arranging 3rd viewing.

11.02 DT requested P&l 

03.02 Offer received from Planet JJ's Geekery - DT has asked for further information (financial)"," £1,412 ",,,,,,,,,,,,,,,,,,,,,,,,,
,"Cob Tree
AML done","27.07 Garteh will drop the keys in for compleation on Wednesday  SENT 17/07

23.07 signed ready for completation next week

16.07 AM to draft a fee invoice for exchange anc completation on 29th July  - 17/7  sent invoice 

13.07 Dt chased

10.07 DT chased for update 

7.07 exchange contacts thsi Friday

6.07 aim to echange ASAP with compleation on 22.07

9.06 Gareth to confirm tenants VP date

22.06 DT chased 

18.06 need to go back to Dipak today!

15.06 Gareth to confirm timing for excvhange and completetion. Zoe said only just had enquiriesso there is no way we can complete this week

5.06 DT send chaser to Gareth. DEEPACK WANTS TO COMPLETE 12TH OR 18TH BUT WILLING TO TAKE ON PROPERTY WITH TENANCY ON FIRST FLOOR 

02.06 DT asked gareth for a n update follwign his emails to Zoe French yesterday.

26.05 DT sent a chaser to Zoe 

15.05 inspected today, chase legals next week

11.05 inspected today

5.05 DT asked fo ran update from Zoe and Gartyeh. isnpected ion reqieyded 15h may 

29.04 epc beign carried put today

27.04 chased 

20.04 DT asked solcitors to ocnfirm if they have heard from the undetakers

7.04  sols in contact, need confirmaiton of valuation date 

25.03 MOS been sent to Gareth Edwards

22.03 draft MoS

16.03 Depik up to £700k

16.03 offer of £660k from Patels. Garteh want £700k"," £8,750 ",,,,,,,,,,,,,,,,,,,,,,,,,
,paddock Wood 9 Ranjan,28.07 abortive baord cost, £260 ,,,,,,,,,,,,,,,,,,,,,,,,,
,"Shoreham Arch Co
AML done on Fieldmans (Ken co)","12.08 invoice sent
 10.08 shoudl happen tomorrow INVOICE BASICALLY DRAFTED need terms agreed and add to fee book also for no

4.08 Ken confirmed he wants to sign. Arch co to confirm

27.07 any day now 

20.07 Lettign shoudl complete on Thursday

17.07 offer due to go back on Monday"," £3,800 ",,,,,,,,,,,,,,,,,,,,,,,,,
," The Brooder House
AML done ","6.08 gone in to licence. AM to draft invoice for completion  

4.08 DT asked Mike for an update 

27.07 DT asked Miek Rogers if there was any progress last week

20.07 DT chased Mike for an update

13.07 shoudl sign this week 

10.07 Comms sorted. 

3.07 DT chased Ben Wright...no feedback

29.06 DT chased 

16.06 Dt asked Ben Wright for a upate on the legals

02.06 DT Asked Ben for an update 

14.05 sols isntructed 

8.05 Nick G to send information 

7.05 just waitign for Nik to ocnfirm sols detials/ 

5.05 back to Nick G to agree Heads of terms 

29.04 Dt chased 

15.04 JOB to issue draft Heads of TErms

6.06 progressing 

23.02 DT chased 
"," £4,200 ",,,,,,,,,,,,,,,,,,,,,,,,,
,"105-109 High Street (Barclays)
Aml done ","27.07 Tyson sortign out electric supply

3.07 landlord sols to confirm our postion 

1.07 DT suggest we speak to sols 

22.06 Issues for Tyson to sort out; signed agreement to lease

11.05 Dt asked Tyson for an update 

5.05 JOB to ocnfirm long stop date.

29.04 Dt asked Tyson for an update 

15.04  AFL signed. chase enablign works 

3.04 Dt asked 

7.04  both parties should haev signed

30.03 27.09 AFL close to signing 

23.03 AFL to be sigmed. TS to issue works and confirm fee with TS for SOC

17.03 TS to confirm 

6.03 DT updated home team 

3.03 legals progressing

16.02  sort out lease plan

02.02 DT chased 27.01 DT chased client 

19.01 DT to speak to so;citpr tomror w

12.01 SOW sent to Mike H

5.01 Tyson emaiked Miek Hiscok sceduel of works

.12 TS dealing with works

25.11 Tyson on meeting on friday 

18.11 teannt has agreed to inceease he rent., DT asked tenants solcitor if he can nwo issues the draft AFL

12.11 David Porter to confirm works

10.11 Tyson to respond to DT email to David 

4.11 DT updated other side, we need an undertaking

28.10 DT to confirm front door

14.10 Josh to ask David

7.10 DP to comnfor 

01.10 nothing back from David

19.09 emailed tenants 

03.09 Draft Heads of terms sent to David Porter

25.08 DT reponsed with a prospoal 

19.08 DT asked for asset statemt 

03.07 Showed CEO Franchise around to confirm if they will move forward
16.06 tenant has offered £55k to take the whol eo fhte propety

27.05 Dt asked for detauiel dbusines splan and proof of funds 

23.05 awaiting business plan 

6.05 Josh to confirm Ozkan 

24.04 Spoken to Ozkan very interested speaking to his team and solicitors will get back in touch next week

16.04 Interested party (Ozkan) wants to know if they offer full rental of £50k - how much rent free would LL give? "," £3,300 ",,,,,,,,,,,,,,,,,,,,,,,,,
,"Yalding Enterprise Park (YEP) Units B1&2 - padel studio
AML - need DOBS for padel guys- vendor prev done","8.07 PM said August for 

5.05 Dt asked Tom maggs to confirm Linked post   (poss complete July...)

23.04 AMl signed, Jully PC, operating September 

20.04 Check with paul that AFL has been signed and send out Linkedin 

5.04 with paul 

27.01 progeesing 

6.01 plannign progressing

25.11 need to get a chsnge of use 

12.11 Plannign to be heard tomorrow

.09.25 PM asked Padle guys for an update on planning

23.07 legals & plannign progressign 

11.06 Paul said legals progressing 

21.05 HOT shared 

6.05 Dt askjed Aihars for an update 

23.04 with PM to confirm 

7.04  back with Padle guys to confirm VAT 

02.04 DT sent draft HoT to LL / owner

02.04 MC sent DT draft HoT

31.03 with PM"," £33,000 ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,," £103,869 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2026-2027 UNDER OFFER,,,,,,,,,,,,,,,,,,,,,,,,,,,
